,place,location,point,lat,lon
742,Island of St Croix,,,,
747,Rosina Nitschmann,,,,
749,"Herrnhut, Moravia",,,,
750,"St Thomas, West Indies",,,,
754,"Killean, Seotland",,,,
768,Warwarsing (Ulster) NY,,,,
769,Red Hook Landing (Dutchess) NY,,,,
770,Lector in Theology,,,,
771,"Prof, of Theology",,,,
773,"New Barbadoes, May",,,,
775,"Brookhaven, Long Island, NY",,,,
778,Cutchogue and Mattituck,,,,
779,"Orient, Long Island, NY",,,,
786,"Town Clerk, ff for many years",,,,
787,Convention Sermon,,,,
788,Dudleian Lecture,,,,
790,"Huntingto, NY",,,,
797,Stratton Major Parish (King and Queen) Va,,,,
802,"Cantes, Groningen, Holland",,,,
805,"Southol, NY",,,,
821,Minisink (Sullivan) NYug,,,,
822,Mahakemack (ie Port Jervis) (Orange) NY,,,,
825,"Millington Parish, East Haddam, CT",,,,
826,St George's (New Castle) Del,,,,
833,"Woodbridge, Conn, Dec",,,,
835,"Huntington, Long Island, NY",,,,
837,South East NY,,,,
840,"Riverhead, Long Island, NY",,,,
848,"Cedar Swamp, Long Island, NY",,,,
850,North Salem (Westehester) NY,,,,
854,Marcus Hook (Del) PA,,,,
855,Swedesborough (Gloucester) NJ,,,,
858,Crane Hook (New Castle) Del,,,,
861,"Carnoe, Montgomery, Wales",,,,
863,"Rector, Gwaynysgor, Flintshire",,,,
867,Perkionien PA,,,,
871,St George's Parish (Harford) MD,,,,
875,"Muelheim-on-the-Ruhr, Germany",,,,
876,"Stettin, Prussia",,,,
879,Mirambeau and La Roche Chal,,,,
881,Liiiiz PA,,,,
882,"Nazaretíi Pa Ma\' , as warden",,,,
893,U of Utrecht,,,,
895,"Leek, County Donegal, Ireland",,,,
896,"Prof, of Classics and Metaphysics",,,,
899,"Hamstead Bridge, Birmingham, England",,,,
900,Spotsylvani,,,,
906,"Baltimore, MDuly",,,,
908,Hope (W'arren) PA,,,,
910,"Bodensingen, Baden-Durlaeh",,,,
913,Warwiek (Laneaster) PA,,,,
923,Hardwic,,,,
925,Frelinghuysen (Warren) NJ May,,,,
926,Hackettstown (Warren) NJ May,,,,
931,Verjo Holland,,,,
934,"Steticheim, near Mayence",,,,
936,Upper Hanover (Montg) PA,,,,
938,Long Swamp (Berks) PA,,,,
942,"Conitz, Polish Prussia",,,,
945,Moskito Coast,,,,
947,"Tuscarawas Valley, Stark co, Ohio",,,,
948,Salswedel Germany,,,,
951,Qrd Zurich,,,,
952,Tewksbury (Hunt) NJ,,,,
955,"Herrnhay, Germany",,,,
957,"Sagenroth, Switzerland",,,,
960,"Frederic, late in Sept",,,,
961,Middletown (Fred) MD,,,,
964,Stephenstown (Frederick) Va,,,,
967,"Northampton co Dryland, Easton, Lehigh",,,,
970,Staufferstown,,,,
976,"Newport, RL",,,,
977,Pilesgrove and Woolwich,,,,
979,Rockland (Bucks) PA,,,,
983,Schoefferstown (Lebanon) PA,,,,
987,Frederiek County Maryland,,,,
988,"West Gothland, Sweden",,,,
990,"Pelacheeola, Ga",,,,
991,Pentonville Salem NJ,,,,
992,GARRET (Gerhardus),,,,
994,Swamp district PA,,,,
997,Brothertown (Somerset) PA,,,,
1000,Qrd in Connct,,,,
1001,"Wyoming, now WilkesBarre (Luzerne) PA",,,,
1004,Carlisle (Cumb) PA,,,,
1005,"Lancaster, PA (where he resided)",,,,
1013,Compassville,,,,
1021,Carroll (York) PA,,,,
1022,Newville (Cumb) PA,,,,
1026,Berbice South America,,,,
1031,"Woodbridge, , all in NJ",,,,
1034,"Elizabeth River Parish, VA",,,,
1040,"Eppingen, Neckar Valley, Germany",,,,
1045,Huntersville (Schoharie) NY,,,,
1048,Burnetsfield (Herkimer) NY,,,,
1050,"Sehlen, Moravia",,,,
1053,"Phillipstown, Yonkers (Westchester) NY",,,,
1055,"SufReld, CT",,,,
1059,North Elk Parish (Cecil) MD,,,,
1062,"Duchy of Nassau, Germany",,,,
1085,"Schoenheide, Lower Silesia, Germany",,,,
1089,"Philadelphia , asst min",,,,
1090,New Germantown (Morris) NJ,,,,
1093,Franklin Coll,,,,
1096,Leslyland,,,,
1100,"Merionethshire, Great Britain",,,,
1101,Caernarvon (Lane) PA,,,,
1104,"New Barbadoes, supply",,,,
1109,Tappan in Orangetown (Rockland) NY,,,,
1112,Qrd London,,,,
1113,St Mary Anne's Parish (Cecil) MD,,,,
1114,East Donegal (Lane) PA,,,,
1115,Somerset Parish (Somerset) MD,,,,
1116,"Langnau, Emmenthal, Berne, Switzerland",,,,
1119,Providenee (Lane) PA,,,,
1130,Punchester (Pembroke) South Wales,,,,
1131,Ammasland (Del) PA,,,,
1132,Bridgeton (Cumb) NJ,,,,
1133,Calkoen's Hook (Del) PA,,,,
1136,Maurice River (Cumb) NJ,,,,
1137,Swedesborough (Glouc) NJ,,,,
1139,"Blumenberg, Lippe, Westphalia, Germany",,,,
1142,University of Frankfort-on-the-Oder,,,,
1143,"Eingfleish, near Berlin",,,,
1145,"Harlem and Fordham, NY",,,,
1149,Wawasing NY,,,,
1150,"Jamaie, NY",,,,
1164,Manahawkin (Monmouth) NJ,,,,
1165,"Pfluellingen, Wurtemberg, Germany",,,,
1169,Drawyer's Creek DE,,,,
1170,Greenwich (Cumb) NJ,,,,
