,place,location,point,lat,lon
2241,Franconia (Montg) PA,,,,
2242,"Lueneberg, Germany",,,,
2246,Baptisttown,,,,
2247,Qrd minister,,,,
2248,Qrd Bishop,,,,
2251,"Amswalde, Brandenburg",,,,
2252,"South Branch of the Potomac, West Virginia",,,,
2256,"Mill Creekiles from Heidelberg, PA",,,,
2257,"Muddy Creek, now Reamstown",,,,
2258,"Donegal, now Mt Joy",,,,
2259,"Heidelberg, Oley, Lancaster and York, PA",,,,
2260,"Graceham and Carroll's Manor, MD",,,,
2261,"Fifeshire, Scotland",,,,
2271,Lewes in Del,,,,
2275,"Trappe, in PA",,,,
2277,Calkoen's Hook,,,,
2279,"Kaufbeuren, Swabia",,,,
2280,Bethabar,,,,
2283,Cuba Rock PA,,,,
2284,"Lambsheim, Frankenthal, Rhine Palatinate",,,,
2288,"Saletz, Switzerland",,,,
2290,West Donegal (Lane) PA,,,,
2295,AUentown (Monmouth) NJ,,,,
2296,New Gnadenhuetten (Tuscarawas) Ohio,,,,
2297,"Kunwald, Moravia",,,,
2299,"Gnadenhuetten, Nazareth and Grandenthal",,,,
2300,Memel on the Baltic Sea,,,,
2301,"Trevethin, Monmouth, Wales",,,,
2306,"Boston, CO Lincoln, England",,,,
2308,"Undy, co Monmouth, Wales",,,,
2311,"East Chester and ¡West Chester, NY",,,,
2312,Norwatk CT,,,,
2313,"Ord  liopewell, NJ",,,,
2314,"Norwalk, i Nov",,,,
2317,"Laurel (Sussex) Del,  Sept",,,,
2320,"Prof, of Divinity, YC",,,,
2325,"Waterford, Colestown (Cumb) NJ",,,,
2326,Gloucester (Greenwich in Cohansey) NJ,,,,
2328,"Rector, Bundleigh, Devonshire, England",,,,
2335,Aquebogu NY,,,,
2336,"Laubau, Prussian Silesia",,,,
2337,"NATHANIEL WADE (H , non-grad)",,,,
2342,"Little Quogue, Westhampton, Long Island, NY",,,,
2343,"Moriehes, Brookhaven, Long Island, NY",,,,
2345,Logtown (Salem) NJ,,,,
2346,Wicaco PA,,,,
2347,"Rector, Swedesboro (Glouc) NJ",,,,
2351,Kingwood (at Baptistown) NJ,,,,
2352,"Chipmanslade, Wiltshire, England",,,,
2353,Graceha,,,,
2354,"Hoeoer, Scania, Sweden",,,,
2357,"Cohansey, now Fairfield (Cumberland) NJ",,,,
2363,"Gomersa, England",,,,
2366,Ammasland NJ,,,,
2367,Calkoen's Hook NJ,,,,
2368,"Gwrgodllys, Cilmanllwyd, Pembroke, Wales",,,,
2371,"Jamaic, July",,,,
2372,"Haeradshammer, Linkoeping, Sweden",,,,
2376,Maurice River (Gloucester) NJ,,,,
2380,"Niebuhl, Gluckburg, SchleswigHolstein",,,,
2383,NurLhampton (Bucks) PA,,,,
2384,Swedish botonist,,,,
2399,Rhinebeck Fiats (Dutchess) NY,,,,
2401,"Christiansbrunn, Bethlehem, PA",,,,
2404,Ash Grave (Washington) NY,,,,
2405,"Balligarane, Ireland",,,,
2410,"Frederick (Frederick) MD, Nov",,,,
2411,PIERRE DAILIÉ,,,,
2413,"ChatiUon-sur-Seine, France",,,,
2414,"Lake Huron, Sept",,,,
2416,Vietor (Ontario) NY,,,,
2420,Ottawa missionct,,,,
2421,Picataway NJ,,,,
2424,Compassville PA,,,,
2425,West Cain (Chester) PA,,,,
2435,Kingston Parish (Mathews) Vaet,,,,
2439,"Liverpool, Laneashire, England",,,,
2440,"Greenwich, first Parish",,,,
2441,Hopewell (Mereer) NJ,,,,
2451,"Cupar, Fifeshire, Scotland",,,,
2456,Colestown (Cumberland) N J,,,,
2457,Greenwich in Cohansey (Cumberland) NJ-ijjj,,,,
2458,Surgeon and,,,,
2466,"Shippensburgh, PA",,,,
2467,Southampton (Cumb) PA,,,,
2472,Dickinson Coll,,,,
2475,"St Thomas's Manor, MD",,,,
2477,"Waneytown, County Armagh, Ireland",,,,
2478,"Rector, Rye, NY",,,,
2480,NJ Medical Soc,,,,
2481,"Drummore, Ireland",,,,
2492,"Sacomb, Hertfordshire, England",,,,
2497,ROBERT WALKER (poss matrie ),,,,
2505,Roehester (Ulster) NY,,,,
2506,"Jamaiea, Newtown, Oyster Bay",,,,
2507,Upper Sehoharie NY,,,,
2508,Chestnut Level (Lane) PA,,,,
2511,"Rector, i Sept",,,,
2515,Rockfis,,,,
2518,Mountain Plains (Nelson) Va,,,,
2520,"Geinburg, PA",,,,
2522,Fagg's Manor PA,,,,
2523,"New Londonderry, PA",,,,
2525,STD Coll,,,,
2528,"Greencastle, PAov",,,,
2529,Lower Pennsborough (Cumberland) PA,,,,
2534,"South River, Cranbury and Matchaponex, NJ",,,,
2537,Summit Ridge (New Castle) DE,,,,
2538,Princeton Uept,,,,
2540,"Middleburg, Holland",,,,
2544,"St John's Coll, Cambridge",,,,
2545,Bruton Parish (James City co) Va,,,,
2547,Norriton (Montg) PA,,,,
2548,"Lower West Nottingham, MD",,,,
2549,"Stettlen, Switzerland, Aug",,,,
2555,Schooley's Mt,,,,
2558,Konolowa (Cumb) PA,,,,
2561,"Delacarlien, Sweden",,,,
2562,"Manathanim, Douglassville PA",,,,
2563,Rumfertuna (Westeras) Sweden,,,,
2568,"Llanddewi, Radnor, Wales",,,,
2569,Cefyn-y-Gelli Bettws Parish Glamorgan Wales,,,,
2572,Cumberiand (Adams) PA,,,,
2577,"Wernigerode, Holland",,,,
2581,"Rector, ept",,,,
2585,"Salem (in North Salem, Westchester) NY",,,,
2594,"Tittelsheim, Frankforton-the-Main, Germany",,,,
2600,Qrd Northeasttown (Dutchess) NY,,,,
2601,"Beauvais, Franee",,,,
2603,SIMON SMITH (prob NY,,,,
2607,"Fishkill and Poughkeepsie, NY",,,,
2608,"Hillsborough and Neshanic, NJ",,,,
2609,"Hackensack and Schraalenburg, NJ",,,,
2610,Professor of Theology,,,,
2611,Lecturer in Theology,,,,
2616,Michilimackinac mission,,,,
2617,Recollect Father,,,,
2620,Saddle River and Pascack,,,,
2621,New Huriey (Ulster) NY,,,,
2624,Cortlandttown (Westchester) NY,,,,
2625,Assunpinck (Mercer) NJ,,,,
2626,"Torpa, West Gothland, Sweden",,,,
2627,"Ammasland on Darby Creek, PA",,,,
2628,"Calkoen's Hook, near Chester, PA",,,,
2629,Lindhein Sweden,,,,
2631,"Frederic, June",,,,
2632,"Geinsheim, Speyer, Germany",,,,
2635,"Sourland, near Harlingen",,,,
2636,Subrector of the Latin Academy,,,,
2639,East Friesland Holland,,,,
2640,"Enkhuizin, Holland, Sept",,,,
2647,"Thornpson, Woodstock, CT",,,,
2648,"Hackney, Middlesex, England",,,,
2649,"Qrd Boston, MA",,,,
2654,Dorchester Parish (Dorchester) MD,,,,
2655,St Luke's Parish (Queen Annes) MD,,,,
2656,"Nottingham, MD, after",,,,
2663,"Sassafra,",,,,
2664,"Rector, Donagh Henry, Ireland",,,,
2665,"Prebendary, Canterbury",,,,
2669,"Boston, Oct , in the ship",,,,
2670,"Freetown, Mass, Jan",,,,
2672,"Sergeant, RL",,,,
2675,St Mary's City (St Mary's) MD,,,,
2676,"Newton Notage, Glamorgan, Wales",,,,
2680,"Oxford, NJct",,,,
2681,"Hopewell, NJune May",,,,
2683,"Machynlleth, County Montgomery, Wales",,,,
2684,"Greenwich, Conn, Apr",,,,
2685,"Dunbar, Seotland",,,,
2697,The Minisinks (Sussex) NJ,,,,
2704,"Taunton, County Somerset, England",,,,
2705,"Gilling, Richmond, County York, England",,,,
2707,"AUentown, NJ",,,,
2711,"Sierre Leone, West Africa",,,,
2712,"St George's Parish, Dorchester (Dorchester) SC",,,,
2713,Antrim Parish (Halifax) Va,,,,
2714,St Bartholomew's Parish (CoUeton) SC,,,,
2715,St John's Parish (Colleton) SC,,,,
2718,"GranviUe, NS",,,,
2719,"Lawrenee, NJ",,,,
2720,"Biggleswade, County Beford, England",,,,
2728,Ipswieh MA,,,,
2730,"Ipswieh, first Parish",,,,
2731,Cutchogu NY,,,,
2733,"Hockheim, Wurtemberg, Germany",,,,
2740,Pequea District Lane PA,,,,
2742,Marlborough (Monmouth) N J,,,,
2746,Judge of Probate,,,,
2747,Upper Red Hook Landing (Dutchess) NY,,,,
2748,University Gronigen,,,,
2751,"Graftdyck, Holland",,,,
2752,"Rensselaerwyck, NY",,,,
2754,University of Leyden,,,,
2756,"New London, Conn, North Parish",,,,
2757,St Mary's Parish (Caroline) Va,,,,
2758,Nottoway Parish (Southampton) Va,,,,
2762,"Bodenteich, Duchy of Lueneburg",,,,
2763,Athens (Greene) NY(Columbia) NY,,,,
2764,"Raritan and Hackensack, NJ",,,,
2769,Radnor near Valley Forge PA,,,,
2771,"Castellneth, Glamorganshire, Wales",,,,
2774,Squan (Montmouth) NJ,,,,
2777,Forks of the James (Rockbridge) Va,,,,
2778,"Lichtenau, Nov",,,,
2780,"Musconetcong, near Alexandria VA",,,,
2781,"Liningen, Germany",,,,
2786,Christ Church Parish (Queen Annes) MD,,,,
2787,"Neuritt, Germany",,,,
2789,"Lynch, Leominster, Hereford County, England",,,,
2790,"Drawlington, County Warwick, England",,,,
2792,"Sandwich, the first minister",,,,
2796,"Regent, USNY",,,,
2797,Dover (Dutehess) NY,,,,
2798,"Abernethy, Fifeshire, Scotland",,,,
2800,"Exeter, RL",,,,
2801,"Broieh, Westphalia",,,,
2803,Freehold (Mercer) NJ,,,,
2806,St Paul's Church (Kent) MD,,,,
2808,"St Peter's, July",,,,
2810,North Elk (Cecil) MD Mary Anne's Parish,,,,
2811,Augustine Parish (Cecil) MD,,,,
2813,"Pennypack, Lower Dublin, PA",,,,
2814,"Neuen Sigmaringen, Westphalia, Germany",,,,
2819,"Yarmouth County, Norfolk, England",,,,
